weird nouns,part of speech, stems,possesed nouns,,,Unique Rules,Regular a,Regular e,,,
anālhāri jāxīsse,[N.PHR],-ālhār--āxīss-,saxēwa,[N.3P],-xēw-,ēw->ēwa,ēw->ēwa,st->ste,87,#N/A,
anrēli anhēi,[N.PHR],-hē--rēl-,jacāha,[N.3P],-cāh-,āh->āha,āh->āha,ññ->ññe,45,#N/A,
ā,[N.DEF],-ā-,sacāste,[N.3P],-cāst-,st->ste,ēm->ēma,rr->rre,21,#N/A,
ālū,[NUM],-ālū-,sacāe,[N.3P],-cāj-,āj->cāe,eþ->eþa,pp->ppe,15,#N/A,
āllaral,[NUM],-āllaral-,sacēma,[N.3P],-cēm-,ēm->ēma,ēl->ēla,ww->wwe,1,#N/A,
ālle,[NUM],-āll-,sacēneþa,[N.3P],-cēneþ-,eþ->eþa,āl->āla,īk->īke,82,#N/A,
āllōr,[NUM],-āllōr-,sacīxen,[N.3P],-cīxen-,en->xen,āλ->āλa,rs->rse,,e,n
āmme,[NUM],-āmm-,saciēla,[N.3P],-ciēl-,ēl->ēla,īñ->īña,ll->lle,,#N/A,
āmmōr,[NUM],-āmmōr-,saciēla jahēññe,[N.3P],-ciēl--hēññ-,āl->āla,ōs->ōsa,rn->rne,,#N/A,
ān,[NUM],-ān-,sahāla,[N.3P],-hāl-,āλ->āλa,ūt->ūta,mm->mme,,#N/A,
āniþ,[NUM],-ān-,sahāλa,[N.3P],-hāλ-,hē->ahē,on->ona,ŋŋ->ŋŋe,,#N/A,
ānor,[NUM],-ānor-,sahē,[N.3P],-hē-,ññ->ññe,ēt->ēta,rm->rme,,#N/A,
ānor atē,[NUM],-ānor--tē-,sahēññe,[N.3P],-hēññ-,īñ->īña,īm->īma,tm->tme,,#N/A,
ānor aþāmme,[NUM],-āmm--ānor-,sahēññe janōsa,[N.3P],-hēññ--nōs-,rr->rre,ōl->ōla,wr->wre,,#N/A,
ānor aþān,[NUM],-ān--ānor-,sahēññe jatāwre,[N.3P],-hēññ--tāwr-,ōs->ōsa,ūn->ūna,ss->sse,,#N/A,
ānor aþēnne,[NUM],-ānor--ēnn-,sahīña,[N.3P],-hīñ-,pp->ppe,āc->āca,nt->nte,,#N/A,
ānor aþōnne,[NUM],-ānor--ōnn-,sahīña jacāwa,[N.3P],-cāw--hīñ-,ūt->ūta,en->ena,nn->nne,,#N/A,
ānor awījte,[NUM],-ānor--wījtē-,sahōrre,[N.3P],-hōrr-,on->ona,īw->īwa,tt->tte,,#N/A,
ānor awīor,[NUM],-ānor--wīor-,sahōsa,[N.3P],-hōs-,ēt->ēta,ās->āsa,ln->lne,,#N/A,
ānoru,[NUM],-ānoru-,sahōxen,[N.3P],-hōxen-,īm->īma,ōλ->ōλa,rw->rwe,,#N/A,
ānoru aþāllōr,[NUM],-āllōr--ānoru-,sahūppe,[N.3P],-hūpp-,ōl->ōla,ōh->ōha,sn->sne,,#N/A,
ānoru aþōr,[NUM],-ānoru--ōr-,sahūta,[N.3P],-hūt-,ūn->ūna,ān->āna,Regular consant,,#N/A,
ānnalon,[N.DEF],-ānnalon-,sajāona,[N.3P],-jāon-,āc->āca,ēλ->ēλa,en->xen,,#N/A,
āral,[NUM],-āral-,sajēta,[N.3P],-jēt-,en->len,ōr->ōra,en->len,,e,n
āral aþān,[NUM],-ān--āral-,sajīma,[N.3P],-jīm-,en->ena,ūñ->ūña,ūñ->hūñ,,#N/A,
āral aþēnne,[NUM],-āral--ēnn-,sajōla,[N.3P],-jōl-,ūñ->hūñ,am->ama,ēl->rēl,,ū,ñ
āral awījte,[NUM],-āral--wījtē-,sajūna,[N.3P],-jūn-,ww->wwe,ir->ira,ōñ->rōñ,,#N/A,
āralu,[NUM],-āralu-,sakāca,[N.3P],-kāc-,ēl->rēl,ōm->ōma,īr->xīr,,ē,l
ārū,[NUM],-ārū-,sakāha,[N.3P],-kāh-,ōñ->rōñ,ūx->ūxa,ār->lār,,ō,ñ
ārū aþān,[NUM],-ān--ārū-,sakāllen,[N.3P],-kāllen-,īr->xīr,ām->āma,el->rel,,ī,r
ārū aþēnne,[NUM],-ārū--ēnn-,sakāena,[N.3P],-kāen-,īk->īke,āk->āka,āl->māl,,#N/A,
ārre,[NUM],-ārr-,sakehūñ,[N.3P],-kehūñ-,rs->rse,āt->āta,en->ten,,#N/A,
cē,[N.DEF],-cē-,sakekīwwe,[N.3P],-kekīww-,īw->īwa,īr->īra,āl->xāl,,#N/A,
ē,[N.DEF],-ē-,sakerēl,[N.3P],-kerēl-,ās->āsa,īþ->īþa,en->jen,,#N/A,
ēnnaral,[NUM],-ēnnaral-,sakerēl jaþēlle,[N.3P],-kerēl--þēll-,ll->lle,ēx->ēxa,en->ken,,#N/A,
ēnne,[NUM],-ēnn-,sakerōñ,[N.3P],-kerōñ-,ōλ->ōλa,ōñ->ōña,on->āon,,#N/A,
ēnnoru,[NUM],-ēnnoru-,sakexīr,[N.3P],-kexīr-,rn->rne,ār->āra,en->ren,,#N/A,
ēnnoru aþēnnor,[NUM],-ēnnoru--ēnnōr-,sakēma,[N.3P],-kēm-,kū->akū,rj->rja,,,#N/A,
ēnnōr,[NUM],-ēnnōr-,sakēwīke,[N.3P],-kēwīk-,mm->mme,ōn->ōna,Other,,#N/A,
hē,[N.DEF],-hē-,sakīlpōrse,[N.3P],-kīlpōrs-,ŋŋ->ŋŋe,ūr->ūra,āj->cāe,,#N/A,
anhē ŋō,[N.PHR],-hē--ŋō-,sakīwa,[N.3P],-kīw-,ōh->ōha,iñ->iña,,,#N/A,
ī,[N.DEF],-ī-,sakkāsa,[N.3P],-akkās-,ār->lār,ēs->ēsa,Bizarre vowel,,ā,r
iē,[N.DEF],-iē-,sakōccelle,[N.3P],-kōccell-,ān->āna,ēr->ēra,hē->ahē,,#N/A,
jē,[N.DEF],-jē-,sakōλa,[N.3P],-kōλ-,ēλ->ēλa,īl->īla,kū->akū,,#N/A,
kā,[N.DEF],-kā-,sakōrne,[N.3P],-kōrn-,mō->amō,ex->exa,mō->amō,,#N/A,
lā,[N.DEF],-lā-,sakū,[N.3P],-kū-,ōr->ōra,,nū->anū,,#N/A,
lānnāl,[N.DEF],-lānnāl-,salāmme,[N.3P],-lāmm-,ūñ->ūña,,ŋē->aŋē,,#N/A,
malōīñ salūña,[N.PHR],-lōīñ--lūñ-,salēŋŋe,[N.3P],-lēŋŋ-,el->rel,,,,e,l
mamōrīñ sīlle,[N.PHR],-īll-,salīwa,[N.3P],-līw-,am->ama,,,,#N/A,
masēllō satāña,[N.PHR],-sēllō--tāñ-,salōha,[N.3P],-lōh-,ir->ira,,,,#N/A,
masīste salūña,[N.PHR],-lūñ--sīst-,salōmme,[N.3P],-lōmm-,rm->rme,,,,#N/A,
mū,[N.DEF],-mū-,samāca,[N.3P],-māc-,āl->māl,,,,ā,l
nā,[N.DEF],-nā-,samālār,[N.3P],-mālār-,ōm->ōma,,,,#N/A,
ñē,[N.DEF],-ñē-,samālle,[N.3P],-māll-,nū->anū,,,,#N/A,
ō,[N.DEF],-ō-,samālle jaþēlle,[N.3P],-māll--þēll-,ūx->ūxa,,,,#N/A,
ōnne,[NUM],-ōnn-,samāna,[N.3P],-mān-,ām->āma,,,,#N/A,
ōnnōr,[NUM],-ōnnōr-,samāsa,[N.3P],-mās-,āk->āka,,,,#N/A,
ōr,[NUM],-ōr-,samēλa,[N.3P],-mēλ-,ŋē->aŋē,,,,#N/A,
ōr atē,[NUM],-ōr--tē-,samō,[N.3P],-mō-,āt->āta,,,,#N/A,
ōr aþāmme,[NUM],-āmm--ōr-,samōla,[N.3P],-mōl-,īr->īra,,,,#N/A,
ōr aþān,[NUM],-ān--ōr-,samōra,[N.3P],-mōr-,īþ->īþa,,,,#N/A,
ōr aþēnne,[NUM],-ēnn--ōr-,samūña,[N.3P],-mūñ-,ēx->ēxa,,,,#N/A,
ōr aþōnne,[NUM],-ōnn--ōr-,samūñerel,[N.3P],-mūñerel-,ōñ->ōña,,,,#N/A,
ōr awījte,[NUM],-ōr--wījtē-,samūñōlle,[N.3P],-mūñōll-,ār->āra,,,,#N/A,
ōr awīor,[NUM],-ōr--wīor-,samūññama,[N.3P],-mūññam-,tm->tme,,,,#N/A,
ōraen,[NUM],-ōraen-,samūññira,[N.3P],-mūññir-,en->ten,,,,e,n
ōru aþāllōr,[NUM],-āllōr--ōrū-,sanārme,[N.3P],-nārm-,wr->wre,,,,#N/A,
ōru aþōr,[NUM],-ōr--ōrū-,sanēmmāl,[N.3P],-nēmmāl-,rj->rja,,,,#N/A,
ōrū,[NUM],-ōrū-,sanīma,[N.3P],-nīm-,ss->sse,,,,#N/A,
pāo,[N.DEF],-pāo-,sanōma,[N.3P],-nōm-,ōn->ōna,,,,#N/A,
rā,[N.DEF],-rā-,sanōsa,[N.3P],-nōs-,āl->xāl,,,,ā,l
sū,[N.DEF],-sū-,sanū,[N.3P],-nū-,ūr->ūra,,,,#N/A,
talōnte,[N.DEF],-talōnt-,sannūxa,[N.3P],-annūx-,iñ->iña,,,,#N/A,
tē,[NUM],-tē-,sañāma,[N.3P],-ñām-,en->jen,,,,e,n
tēaral,[NUM],-tēaral-,saŋāka,[N.3P],-ŋāk-,en->ken,,,,e,n
tēōr,[NUM],-tēōr-,saŋē,[N.3P],-ŋē-,nt->nte,,,,#N/A,
tō,[N.DEF],-tō-,sapāla,[N.3P],-pāl-,ēs->ēsa,,,,#N/A,
þō,[N.DEF],-þō-,sapāŋŋe,[N.3P],-pāŋŋ-,nn->nne,,,,#N/A,
ū,[N.DEF],-ū-,sapāta,[N.3P],-pāt-,ēr->ēra,,,,#N/A,
wā,[N.DEF],-wā-,sapīra,[N.3P],-pīr-,īl->īla,,,,#N/A,
wījtē,[NUM],-wījtē-,sapīra jakīnte,[N.3P],-kīnt--pīr-,tt->tte,,,,#N/A,
wījtōr,[NUM],-wījtōr-,sapīþa,[N.3P],-pīþ-,on->āon,,,,o,n
wīor,[NUM],-wīor-,sapiēxa,[N.3P],-piēx-,en->ren,,,,e,n
wiē,[NUM],-wīj-,sarēla,[N.3P],-rēl-,ln->lne,,,,#N/A,
xō,[N.DEF],-xō-,sarēxa,[N.3P],-rēx-,ex->exa,,,,#N/A,
,,,sarōña,[N.3P],-rōñ-,rw->rwe,,,,#N/A,
,,,sarōña jacāwa,[N.3P],-cāw--rōñ-,sn->sne,,,,#N/A,
,,,sarōña jahēññe,[N.3P],-hēññ--rōñ-,,,,,#N/A,
,,,sarōña jalūra,[N.3P],-lūr--rōñ-,,,,,#N/A,
,,,sasāra,[N.3P],-sār-,,,,,#N/A,
,,,sasāra jasūra,[N.3P],-sār--sūr-,,,,,#N/A,
,,,sasāra jaþēlle,[N.3P],-sār--þēll-,,,,,#N/A,
,,,sasātme,[N.3P],-sātm-,,,,,#N/A,
,,,sasātten,[N.3P],-sātten-,,,,,#N/A,
,,,sasāwre,[N.3P],-sāwr-,,,,,#N/A,
,,,sasērja,[N.3P],-sērj-,,,,,#N/A,
,,,sasēsse,[N.3P],-sēss-,,,,,#N/A,
,,,sasōna,[N.3P],-sōn-,,,,,#N/A,
,,,sasōra,[N.3P],-sōr-,,,,,#N/A,
,,,sasōsa,[N.3P],-sōs-,,,,,#N/A,
,,,sasōxāl,[N.3P],-sōxāl-,,,,,#N/A,
,,,sasūra,[N.3P],-sūr-,,,,,#N/A,
,,,sasūrriña,[N.3P],-sūrriñ-,,,,,#N/A,
,,,sasūrjen,[N.3P],-sūrjen-,,,,,#N/A,
,,,satāka,[N.3P],-tāk-,,,,,#N/A,
,,,satākken,[N.3P],-tākken-,,,,,#N/A,
,,,satāla,[N.3P],-tāl-,,,,,#N/A,
,,,satāwre,[N.3P],-tāwr-,,,,,#N/A,
,,,satēnte,[N.3P],-tēnt-,,,,,#N/A,
,,,satēsa,[N.3P],-tēs-,,,,,#N/A,
,,,satīrre,[N.3P],-tīrr-,,,,,#N/A,
,,,saþāka,[N.3P],-þāk-,,,,,#N/A,
,,,sawāla,[N.3P],-wāl-,,,,,#N/A,
,,,sawānne,[N.3P],-wānn-,,,,,#N/A,
,,,sawānne jarōnne,[N.3P],-rōnn--wānn-,,,,,#N/A,
,,,sawēλa,[N.3P],-wēλ-,,,,,#N/A,
,,,sawēra,[N.3P],-wēr-,,,,,#N/A,
,,,sawūna,[N.3P],-wūn-,,,,,#N/A,
,,,sawūra,[N.3P],-wūr-,,,,,#N/A,
,,,sawūrre,[N.3P],-wūrr-,,,,,#N/A,
,,,sawūta,[N.3P],-wūt-,,,,,#N/A,
,,,saxāenne,[N.3P],-xāenn-,,,,,#N/A,
,,,saxīla,[N.3P],-xīl-,,,,,#N/A,
,,,saxītte,[N.3P],-xītt-,,,,,#N/A,
,,,saxōññāon,[N.3P],-xōññāon-,,,,,#N/A,
,,,saxūren,[N.3P],-xūren-,,,,,#N/A,
,,,sāka,[N.3P],-āk-,,,,,#N/A,
,,,sākena,[N.3P],-āken-,,,,,#N/A,
,,,sālne,[N.3P],-āln-,,,,,#N/A,
,,,sārena,[N.3P],-āren-,,,,,#N/A,
,,,sārrāna,[N.3P],-ārrān-,,,,,#N/A,
,,,sāsrexa,[N.3P],-āsrex-,,,,,#N/A,
,,,senārre,[N.3P],-enārr-,,,,,#N/A,
,,,sewēren,[N.3P],-ewēren-,,,,,#N/A,
,,,sīra,[N.3P],-īr-,,,,,#N/A,
,,,sōlle,[N.3P],-ōll-,,,,,#N/A,
,,,sōrwe,[N.3P],-ōrw-,,,,,#N/A,
,,,sōtte,[N.3P],-ōtt-,,,,,#N/A,
,,,sūsne,[N.3P],-ūsn-,,,,,#N/A,
,,,sūxa,[N.3P],-ūx-,,,,,#N/A,
,,,,,,,,,,#N/A,
,,,,,,,,,,#N/A,
,,,,,,,,,,#N/A,
,,,,,,,,,,#N/A,
,,,,,,,,,,#N/A,
,,,,,,,,,,#N/A,
,,,,,,,,,,#N/A,
,,,,,,,,,,#N/A,
,,,,,,,,,,#N/A,
,,,,,,,,,,#N/A,
,,,,,,,,,,#N/A,
,,,,,,,,,,#N/A,
,,,,,,,,,,#N/A,
,,,,,,,,,,#N/A,
,,,,,,,,,,#N/A,
,,,,,,,,,,#N/A,
,,,,,,,,,,#N/A,
,,,,,,,,,,#N/A,
,,,,,,,,,,#N/A,
,,,,,,,,,,#N/A,
,,,,,,,,,,#N/A,
,,,,,,,,,,#N/A,
,,,,,,,,,,#N/A,
,,,,,,,,,,#N/A,
,,,,,,,,,,#N/A,
,,,,,,,,,,#N/A,
,,,,,,,,,,#N/A,
,,,,,,,,,,#N/A,
,,,,,,,,,,#N/A,
,,,,,,,,,,#N/A,
,,,,,,,,,,#N/A,
,,,,,,,,,,#N/A,
,,,,,,,,,,#N/A,
,,,,,,,,,,#N/A,
,,,,,,,,,,#N/A,
,,,,,,,,,,#N/A,
,,,,,,,,,,#N/A,
,,,,,,,,,,#N/A,
,,,,,,,,,,#N/A,
,,,,,,,,,,#N/A,
,,,,,,,,,,#N/A,
,,,,,,,,,,#N/A,
,,,,,,,,,,#N/A,
,,,,,,,,,,#N/A,
,,,,,,,,,,#N/A,
,,,,,,,,,,#N/A,
,,,,,,,,,,#N/A,
,,,,,,,,,,#N/A,
,,,,,,,,,,#N/A,
,,,,,,,,,,#N/A,
,,,,,,,,,,#N/A,
,,,,,,,,,,#N/A,
,,,,,,,,,,#N/A,
,,,,,,,,,,#N/A,
,,,,,,,,,,#N/A,
,,,,,,,,,,#N/A,
,,,,,,,,,,#N/A,
,,,,,,,,,,#N/A,
,,,,,,,,,,#N/A,
,,,,,,,,,,#N/A,
,,,,,,,,,,#N/A,
,,,,,,,,,,#N/A,
,,,,,,,,,,#N/A,
,,,,,,,,,,#N/A,
,,,,,,,,,,#N/A,
,,,,,,,,,,#N/A,
,,,,,,,,,,#N/A,
,,,,,,,,,,#N/A,
,,,,,,,,,,#N/A,
,,,,,,,,,,#N/A,
,,,,,,,,,,#N/A,
,,,,,,,,,,#N/A,
,,,,,,,,,,#N/A,
,,,,,,,,,,#N/A,
,,,,,,,,,,#N/A,
,,,,,,,,,,#N/A,
,,,,,,,,,,#N/A,
,,,,,,,,,,#N/A,
,,,,,,,,,,#N/A,
,,,,,,,,,,#N/A,
,,,,,,,,,,#N/A,
,,,,,,,,,,#N/A,
,,,,,,,,,,#N/A,
,,,,,,,,,,#N/A,
,,,,,,,,,,#N/A,
,,,,,,,,,,#N/A,
,,,,,,,,,,#N/A,
,,,,,,,,,,#N/A,
,,,,,,,,,,#N/A,
,,,,,,,,,,#N/A,
,,,,,,,,,,#N/A,
,,,,,,,,,,#N/A,
,,,,,,,,,,#N/A,
,,,,,,,,,,#N/A,
,,,,,,,,,,#N/A,
,,,,,,,,,,#N/A,
,,,,,,,,,,#N/A,
,,,,,,,,,,#N/A,
,,,,,,,,,,#N/A,
,,,,,,,,,,#N/A,
,,,,,,,,,,#N/A,
,,,,,,,,,,#N/A,
,,,,,,,,,,#N/A,
,,,,,,,,,,#N/A,
,,,,,,,,,,#N/A,
,,,,,,,,,,#N/A,
,,,,,,,,,,#N/A,
,,,,,,,,,,#N/A,
,,,,,,,,,,#N/A,
,,,,,,,,,,#N/A,
,,,,,,,,,,#N/A,
,,,,,,,,,,#N/A,
,,,,,,,,,,#N/A,
,,,,,,,,,,#N/A,
,,,,,,,,,,#N/A,
,,,,,,,,,,#N/A,
,,,,,,,,,,#N/A,
,,,,,,,,,,#N/A,
,,,,,,,,,,#N/A,
,,,,,,,,,,#N/A,
,,,,,,,,,,#N/A,
,,,,,,,,,,#N/A,
,,,,,,,,,,#N/A,
,,,,,,,,,,#N/A,
,,,,,,,,,,#N/A,
,,,,,,,,,,#N/A,
,,,,,,,,,,#N/A,
,,,,,,,,,,#N/A,
,,,,,,,,,,#N/A,
,,,,,,,,,,#N/A,
,,,,,,,,,,#N/A,
,,,,,,,,,,#N/A,
,,,,,,,,,,#N/A,
,,,,,,,,,,#N/A,
,,,,,,,,,,#N/A,
,,,,,,,,,,#N/A,
,,,,,,,,,,#N/A,
,,,,,,,,,,#N/A,
,,,,,,,,,,#N/A,
,,,,,,,,,,#N/A,
,,,,,,,,,,#N/A,
,,,,,,,,,,#N/A,
,,,,,,,,,,#N/A,
,,,,,,,,,,#N/A,
,,,,,,,,,,#N/A,
,,,,,,,,,,#N/A,
,,,,,,,,,,#N/A,
,,,,,,,,,,#N/A,
,,,,,,,,,,#N/A,
,,,,,,,,,,#N/A,
,,,,,,,,,,#N/A,
,,,,,,,,,,#N/A,
,,,,,,,,,,#N/A,
,,,,,,,,,,#N/A,
,,,,,,,,,,#N/A,
,,,,,,,,,,#N/A,
,,,,,,,,,,#N/A,
,,,,,,,,,,#N/A,
,,,,,,,,,,#N/A,
,,,,,,,,,,#N/A,
,,,,,,,,,,#N/A,
,,,,,,,,,,#N/A,
,,,,,,,,,,#N/A,
,,,,,,,,,,#N/A,
,,,,,,,,,,#N/A,
,,,,,,,,,,#N/A,
,,,,,,,,,,#N/A,
,,,,,,,,,,#N/A,
,,,,,,,,,,#N/A,
,,,,,,,,,,#N/A,
,,,,,,,,,,#N/A,
,,,,,,,,,,#N/A,
,,,,,,,,,,#N/A,
,,,,,,,,,,#N/A,
,,,,,,,,,,#N/A,
,,,,,,,,,,#N/A,
,,,,,,,,,,#N/A,
,,,,,,,,,,#N/A,
,,,,,,,,,,#N/A,
,,,,,,,,,,#N/A,
,,,,,,,,,,#N/A,
,,,,,,,,,,#N/A,
